id,name,website_url,logoURL
dc47e6b9-afef-4e5f-8eef-594f984f625f,1% For The Planet,https://www.onepercentfortheplanet.org/,
4411f8b9-ea47-4c16-bb7e-9dbd50049b2a,Audubon Certified,https://www.audubon.org/news/for-consumers-and-conservationists-faqs-conservation-ranching,da7434b0-078d-498a-97a1-6e6d188d6439
a8e479db-035e-45e8-8ab8-88c8b44dc1d5,Animal Welfare Approved by AGW,https://agreenerworld.org/certifications/animal-welfare-approved/,abae606c-d9d3-4495-8ddc-0fa9f8eaed03
9bb67db2-fcd5-4f69-8bf9-d235bfea0600,California Certified Organic Farmers,https://www.ccof.org/,a1fd7f33-d1ce-471e-b858-998a00f72da7
9665a91c-3db9-411b-a74e-648cd530fbf3,Certified Grassfed by AGW,https://agreenerworld.org/certifications/certified-grass-fed/,edd14fb9-af2b-41a7-baef-fde16bc7a988
c37af8fb-0f2e-4c0a-9f65-f942f191c43d,Demeter Biodynamic,https://www.demeter-usa.org/certification/,baaa79d6-df0a-49a0-88a2-6c12e7b2301c
f4dbc327-4c37-4cbd-8c1b-8afe63e47e6e,Real Organic Project,https://realorganicproject.org/,6b43278f-05f5-45b0-9ca1-2efef105627b
ebe656d6-c940-45b9-900b-7113a4395e04,Regenefied,https://regenified.com/,91efea90-3e73-48bc-860f-3cad40fbbbb8
2fbbc499-8448-4d80-9df4-d9788007c03e,Regenerative Organic Alliance,https://regenorganic.org/,67ddc528-daa0-44b1-9224-e3462fa9e40a
2fed5506-664b-492f-aa93-a8de467e84a0,Soil & Climate Initiative,https://www.soilclimateinitiative.org/,d2857bdf-ab85-4d02-9aed-32215ef23227
48260f54-ca72-4ef6-a477-8d705f21b00f,USDA Organic,https://www.ams.usda.gov/about-ams/programs-offices/national-organic-program,2b4a7333-4851-470a-b838-3e59526a1225
2202ae7c-794b-47a3-a3e4-fc2b9f366f58,Savory Institute,https://savory.global/eov/,c126129f-6920-41c8-878f-ecd437e47bf4
